1428.HK,BRIGHT SMART,Financial Services
376.HK,REORIENT GROUP,Financial Services
8077.HK,KVB KUNLUN FG,Financial Services
335.HK,UPBEST GROUP LTD,Financial Services
626.HK,PUBLIC FINANCIAL,Financial Services
208.HK,POLYTEC ASSET HO,Financial Services
218.HK,SHENYIN WANGUO,Financial Services
993.HK,SIMSEN INTERNATI,Financial Services
8207.HK,CREDIT CHINA HOL,Financial Services
109.HK,GOOD FELLOW RESO,Financial Services
373.HK,ALLIED GROUP LTD,Financial Services
56.HK,ALLIED PROP,Financial Services
665.HK,HAITONG INT'L,Financial Services
806.HK,VALUE PARTNERS,Financial Services
931.HK,CHINA LNG GROUP,Financial Services
86.HK,SUN HUNG KAI CO,Financial Services
1788.HK,GUOTAI JUNAN,Financial Services
3360.HK,FAR EAST HORIZON,Financial Services
53.HK,GUOCO GROUP LTD,Financial Services
165.HK,CHINA EVER LTD,Financial Services
6881.HK,CGS-H,Financial Services
1359.HK,CHINA CINDA-H,Financial Services
530.HK,GOLDIN FINANCIAL,Financial Services
388.HK,HKEX,Financial Services
1.HK,CKH HOLDINGS,Financial Services
8.HK,PCCW LTD,Fixed Line Telecommunications
6823.HK,HKT-SS,Fixed Line Telecommunications
728.HK,CHINA TELECOM-H,Fixed Line Telecommunications
221.HK,PNG RESOURCES HO,Food & Drug Retailers
401.HK,WANJIA GROUP,Food & Drug Retailers
602.HK,JIAHUA STORES HO,Food & Drug Retailers
8180.HK,NEW RAY MEDICINE,Food & Drug Retailers
814.HK,JINGKELONG-H,Food & Drug Retailers
1110.HK,KINGWORLD,Food & Drug Retailers
605.HK,CHINA FINANCIAL,Food & Drug Retailers
1011.HK,CHINA NT PHARMA,Food & Drug Retailers
831.HK,CONVENIENCE RET,Food & Drug Retailers
980.HK,LIANHUA-H,Food & Drug Retailers
1219.HK,TENWOW INTERNATI,Food & Drug Retailers
2211.HK,JINTIAN PHARMACE,Food & Drug Retailers
1345.HK,PIONEER PHARM,Food & Drug Retailers
1025.HK,WUMART-H,Food & Drug Retailers
60.HK,HONG KONG FOOD I,Food Producers
1340.HK,HUISHENG INTL,Food Producers
841.HK,ASIA CASSAVA,Food Producers
1262.HK,LABIXIAOXIN,Food Producers
141.HK,GREAT CHINA HLDG,Food Producers
677.HK,GOLDEN RES DEV,Food Producers
1699.HK,CHINA PUTIAN FOO,Food Producers
3838.HK,CHINA STARCH HLD,Food Producers
47.HK,HOP HING GROUP,Food Producers
2349.HK,CH CITY INFRA,Food Producers
411.HK,LAM SOON HONG KG,Food Producers
374.HK,FOUR SEAS MERCAN,Food Producers
1174.HK,PAC ANDES INTL,Food Producers
3332.HK,NANJING SINOLI-H,Food Producers
1717.HK,AUSNUTRIA,Food Producers
2010.HK,REAL NUTRICEUTIC,Food Producers
1006.HK,CHANGSHOUHUA FOO,Food Producers
2226.HK,HONWORLD,Food Producers
1431.HK,YUANSHENGTAI DAI,Food Producers
1068.HK,CHINA YURUN FOOD,Food Producers
829.HK,SHENGUAN HOLDING,Food Producers
1117.HK,CHINA MODERN DAI,Food Producers
1230.HK,YASHILI INT'L,Food Producers
1112.HK,BIOSTIME INTERNA,Food Producers
6863.HK,HUISHAN DAIRY,Food Producers
43.HK,CP POKPHAND,Food Producers
142.HK,FIRST PACIFIC,Food Producers
2319.HK,MENGNIU DAIRY,Food Producers
322.HK,TINGYI,Food Producers
151.HK,WANT WANT CHINA,Food Producers
794.HK,COME SURE GROUP,Forestry & Paper
731.HK,SAMSON PAPER HLD,Forestry & Paper
2320.HK,HOP FUNG HLDGS,Forestry & Paper
2268.HK,YOUYUAN,Forestry & Paper
